id,code,code_name,f_code,f_time_from,f_time_to,f_price,fees,total_price,from,airport_from,to,airport_to,type,date
vj16170173177,vj,Vietjet,VJ632,2026-04-14 15:35:00,2026-04-14 17:00:00,49000,645900,694900,TP HCM,Tân Sơn Nhất (SGN),Đà Nẵng,Đà Nẵng (DAD),Eco,2026-04-14
qh16170216410,qh,Bamboo Airways,QH1212,2026-04-15 11:45:00,2026-04-15 13:25:00,69000,659000,728000,Quy Nhơn,Phù Cát (UIH),Hà Nội,Nội Bài (HAN),Eco Saver,2026-04-15
vna16170202866,vna,Pacific Airlines,VN6202,2026-04-15 19:35:00,2026-04-15 20:40:00,49000,655000,704000,TP HCM,Tân Sơn Nhất (SGN),Nha Trang,Cam Ranh (CXR),Economy (EL)-A,2026-04-15
vna161701956520,vna,Vietnam Airlines,VN275,2026-04-15 18:00:00,2026-04-15 20:15:00,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P,2026-04-15
vj161702209617,vj,Vietjet,VJ155,2026-04-16 19:20:00,2026-04-16 21:30:00,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco,2026-04-16
vna16170234251,vna,Vietnam Airlines,VN1460,2026-04-16 11:40:00,2026-04-16 13:05:00,209000,661000,870000,TP HCM,Tân Sơn Nhất (SGN),Chu Lai,Chu Lai (VCL),Economy (EL)-P,2026-04-16
vna16170240834,vna,Vietnam Airlines,VN1579,2026-04-16 17:15:00,2026-04-16 19:15:00,509000,671000,1180000,Hà Nội,Nội Bài (HAN),Đà Lạt,Liên Khương (DLI),Economy (EC)-E,2026-04-16
vna161702525812,vna,Vietnam Airlines,VN7837,2026-04-17 19:55:00,2026-04-17 21:00:00,199000,660000,859000,TP HCM,Tân Sơn Nhất (SGN),Phú Quốc,Phú Quốc (PQC),Economy (EL)-P,2026-04-17
vna16170264844,vna,Vietnam Airlines,VN7230,2026-04-17 21:00:00,2026-04-17 23:05:00,1209000,741000,1950000,Phú Quốc,Phú Quốc (PQC),Hà Nội,Nội Bài (HAN),Economy (EC)-R,2026-04-17
vna16170266694,vna,Vietnam Airlines,VN7578,2026-04-17 20:55:00,2026-04-17 22:40:00,299000,670000,969000,Đà Lạt,Liên Khương (DLI),Hà Nội,Nội Bài (HAN),Economy (EL)-P,2026-04-17
vna16170289884,vna,Vietnam Airlines,VN1238,2026-04-18 19:00:00,2026-04-18 21:15:00,3379000,958000,4337000,Phú Quốc,Phú Quốc (PQC),Hà Nội,Nội Bài (HAN),Economy (EG)-M,2026-04-18
vna16170279392,vna,Pacific Airlines,VN6201,2026-04-18 10:20:00,2026-04-18 11:30:00,259000,666000,925000,Nha Trang,Cam Ranh (CXR),TP HCM,Tân Sơn Nhất (SGN),Economy (EC)-E,2026-04-18
qh16170289601,qh,Bamboo Airways,QH1624,2026-04-18 12:50:00,2026-04-18 14:55:00,3380000,960000,4340000,Phú Quốc,Phú Quốc (PQC),Hà Nội,Nội Bài (HAN),Eco Flex,2026-04-18
vna16170306351,vna,Vietnam Airlines,VN7275,2026-04-19 13:25:00,2026-04-19 15:35:00,109000,651000,760000,Thanh Hóa,Sao Vàng (THD),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-A,2026-04-19
vna16170296146,vna,Vietnam Airlines,VN209,2026-04-19 09:00:00,2026-04-19 11:15:00,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P,2026-04-19
vj16170308352,vj,Vietjet,VJ304,2026-04-19 12:30:00,2026-04-19 13:55:00,49000,645900,694900,TP HCM,Tân Sơn Nhất (SGN),Huế,Phú Bài (HUI),Eco,2026-04-19
vj16170330294,vj,Vietjet,VJ224,2026-04-20 14:10:00,2026-04-20 16:00:00,99000,650900,749900,TP HCM,Tân Sơn Nhất (SGN),Vinh,Vinh (VII),Eco,2026-04-20
vj16170319956,vj,Vietjet,VJ123,2026-04-20 09:30:00,2026-04-20 11:45:00,199000,650900,849900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco,2026-04-20
qh16170332220,qh,Bamboo Airways,QH1103,2026-04-20 10:50:00,2026-04-20 12:25:00,26000,655000,681000,Huế,Phú Bài (HUI),TP HCM,Tân Sơn Nhất (SGN),Eco Saver max,2026-04-20
vj16170350223,vj,Vietjet,VJ324,2026-04-21 11:55:00,2026-04-21 13:05:00,49000,645900,694900,Phú Quốc,Phú Quốc (PQC),TP HCM,Tân Sơn Nhất (SGN),Eco,2026-04-21
qh16170345380,qh,Bamboo Airways,QH1540,2026-04-21 08:00:00,2026-04-21 10:00:00,89000,661000,750000,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Eco Saver max,2026-04-21
vna16170355078,vna,Vietnam Airlines,VN1268,2026-04-21 19:15:00,2026-04-21 21:10:00,109000,651000,760000,TP HCM,Tân Sơn Nhất (SGN),Vinh,Vinh (VII),Economy (EL)-A,2026-04-21
vna16170373123,vna,Vietnam Airlines,VN113,2026-04-22 09:10:00,2026-04-22 10:40:00,99000,660000,759000,Đà Nẵng,Đà Nẵng (DAD),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-A,2026-04-22
vta16170375052,vta,Vietravel Airlines,VU 329,2026-04-22 17:05:00,2026-04-22 18:10:00,50000,646000,696000,TP HCM,Tân Sơn Nhất (SGN),Phú Quốc,Phú Quốc (PQC),Aregow (A) - Vé không hoàn,2026-04-22
vna16170385072,vna,Vietnam Airlines,VN159,2026-04-22 08:20:00,2026-04-22 09:45:00,309000,661000,970000,Hà Nội,Nội Bài (HAN),Đà Nẵng,Đà Nẵng (DAD),Economy (EC)-E,2026-04-22
